"","ftrt","phos_pool","ctrt","label"
"1","Compost","unavp","Radish","a"
"2","Compost","unavp","Fallow","a"
"3","Compost","unavp","Oat","ab"
"4","Compost","unavp","Faba Bean Oat","abc"
"5","Compost","unavp","Faba Bean","abc"
"6","Compost","unavp","Buckwheat Oat","abc"
"7","Compost","unavp","Buckwheat","bc"
"8","Compost","unavp","Radish Oat","bc"
"9","Compost","unavp","All Mixture","c"
"10","Control","unavp","Faba Bean Oat","a"
"11","Control","unavp","Oat","ab"
"12","Control","unavp","Buckwheat Oat","abc"
"13","Control","unavp","Faba Bean","bc"
"14","Control","unavp","Buckwheat","bc"
"15","Control","unavp","Radish","bc"
"16","Control","unavp","Fallow","bc"
"17","Control","unavp","Radish Oat","bc"
"18","Control","unavp","All Mixture","c"
"19","Inorganic Fertilizer","unavp","Oat","a"
"20","Inorganic Fertilizer","unavp","Radish","ab"
"21","Inorganic Fertilizer","unavp","Faba Bean Oat","ab"
"22","Inorganic Fertilizer","unavp","Buckwheat Oat","ab"
"23","Inorganic Fertilizer","unavp","Fallow","ab"
"24","Inorganic Fertilizer","unavp","Buckwheat","ab"
"25","Inorganic Fertilizer","unavp","Faba Bean","ab"
"26","Inorganic Fertilizer","unavp","Radish Oat","b"
"27","Inorganic Fertilizer","unavp","All Mixture","b"
