time,ctrt,ftrt,pbic,amac,unavp,porg,bg,phos,nag,ag,lap,abts
T2,Faba Oat,Control,38.79774349,113.95793,-25.66169809,204.3560246,164.8198468,149.5546155,15.14527454,16.72251401,232.7126817,-3.866738734
T2,Faba Oat,Control,25.32443587,99.6612386,3.28987893,182.1744466,94.93799063,74.74703013,9.077148633,15.24752356,170.7493647,-0.574534411
T2,Radish,Control,30.06077819,95.87265231,-2.8302154,226.6967849,-3.920958185,17.31046768,3.043957346,-0.167161663,78.20685187,-0.969240935
T2,Radish,Control,28.55676998,101.9839892,-15.70076518,232.810006,-5.224188272,37.07396802,4.281829045,3.490526241,76.51403066,-3.375908903
T2,Radish,Control,47.97654167,120.2381304,-34.81623457,205.3515625,112.3683556,122.6322746,8.396959503,10.35731579,165.3757092,-7.681997793
T2,Faba,Control,34.91264395,108.6567021,-5.04395545,230.4246094,153.2280083,136.7853796,13.56907843,14.6121202,182.5483107,-2.707482184
T2,Faba,Control,30.45780616,96.47957827,2.45714687,187.2054688,212.1401109,156.5213578,45.15578117,19.82944331,256.5863155,-2.627342655
T2,Faba,Control,25.05770366,93.03492354,12.9620603,187.0953125,118.2251117,93.35105922,9.370352327,7.66537935,161.6710099,-0.44063847
T2,Oat,Control,28.54818096,104.1358814,9.40578144,187.5101563,107.5031738,63.09492262,11.45769445,11.44059776,138.4554908,0.393643468
T2,Oat,Control,26.9482876,103.3327516,-0.8865079,189.0554688,63.89059353,42.97147916,2.027776073,2.100758889,110.7067305,-0.140681878
T2,Oat,Control,25.29224652,92.18964727,8.88529371,180.8328125,104.0222806,71.48512224,18.85804542,6.091098777,150.0418414,1.533893021
T2,Fallow,Control,24.84919057,88.98305085,16.98644348,168.7813151,70.2543699,51.75288553,2.704440473,1.452382968,86.79206574,3.749600894
T2,Fallow,Control,25.89990014,85.43843187,14.95357879,170.3580892,53.72836183,44.02901493,3.614422295,-0.242636751,61.25621362,0.485179419
T2,Fallow,Control,26.96801053,88.76764173,8.58075404,177.0835938,82.5004438,81.51917441,15.24554415,3.686214346,118.1890911,-0.399523524
