,time,ctrt,ftrt,cbio,swet,pbic,amac,edta,unavp,porg,ptot,bg,phos,nag,ag,lap,abts
52,T2,Control,Compost,0,0.32348367,35.89686372,86.1454675,233.0134465,110.9711153,164.7365535,397.75,65.58163333,48.72318876,2.142433359,0.17803606,75.38423292,0.239990417
53,T2,Control,Compost,0,0.284090909,31.83777519,88.14907718,325.1953125,205.2084601,85.3046875,410.5,145.4658559,74.7663083,35.8097958,27.17325053,256.0404958,-1.0491517
54,T2,Control,Compost,0,0.260969977,36.22676384,83.69290559,274.5117188,154.5920494,103.8882813,378.4,56.29314328,50.02891711,7.802830531,0.257293404,91.30493159,0.903528444
73,T3,All,Compost,20.9,.,56.50781028,136.3719652,123.9746094,-68.90516608,204.9753906,328.95,159.4058261,97.29155755,17.77291054,27.18418448,215.0707244,-1.542964426
74,T3,All,Compost,20.9,.,40.8557724,112.4899112,126.7089844,-26.6366992,243.6910156,370.4,101.2412152,46.98915288,4.367758101,4.655637636,154.1837726,0.863457319
75,T3,All,Compost,20.9,.,56.12723658,140.1053596,132.2753906,-63.95720558,243.0246094,375.3,294.4992351,189.3126513,54.34020069,22.5454918,391.8232281,-3.135496426
76,T3,Faba Oat,Compost,26.41,.,51.93160763,120.5291248,172.1700033,-0.29072913,298.2799967,470.45,78.7587322,71.8808327,11.17172227,3.003718097,135.1487057,-0.508226699
77,T3,Faba Oat,Compost,26.41,.,56.91305681,131.8131085,157.3730469,-31.35311841,310.9769531,468.35,153.1259497,157.7390288,69.94323432,13.81569887,223.8737384,-0.721493296
78,T3,Faba Oat,Compost,26.41,.,57.43368361,116.037563,149.9023438,-23.56890281,284.4476563,434.35,100.9740823,57.9042156,5.794009531,8.869281697,157.4242636,0.923864036
79,T3,Radish,Compost,34.22,.,89.97462842,129.6197893,191.1621094,-28.43230832,541.1878906,732.35,221.3008923,171.6165153,507.9311457,15.45662347,274.5607675,-2.521209609
80,T3,Radish,Compost,34.22,.,58.23449327,110.453977,139.8925781,-28.79589217,255.1074219,395,237.73767,157.2685652,93.16030566,44.96281895,461.284366,-0.992866285
81,T3,Radish,Compost,34.22,.,49.41891508,39.98167659,135.8398438,46.43925213,256.5601563,392.4,145.9586156,192.8428775,17.94907928,11.14101299,222.9930318,-0.736571306
82,T3,Faba,Compost,53.16,.,31.58599424,108.9724713,143.4082031,2.84973756,250.1917969,393.6,93.22196703,68.30119171,5.089695317,3.435888973,124.9860042,-0.085498349
83,T3,Faba,Compost,53.16,.,24.502644,90.44456078,171.6796875,56.73248272,216.3203125,388,87.85754854,59.69897805,2.888714334,1.382503888,117.9198133,1.226812491
84,T3,Faba,Compost,53.16,.,37.17728193,113.3391456,134.5214844,-15.99494313,209.4785156,344,88.49326167,49.39745739,13.16609444,10.62243019,83.47357889,0.547453874
85,T3,Oat,Compost,27.46,.,36.99853036,95.42987297,133.3007813,0.87237797,230.6492188,363.95,63.78490712,48.76836274,2.078919551,0.703387861,88.20917688,2.58925261
86,T3,Oat,Compost,27.46,.,34.00852031,93.71965186,144.2871094,16.55893723,257.0628906,401.35,66.34672221,59.23336932,2.723532483,1.946286449,112.6106418,2.772935042
87,T3,Oat,Compost,27.46,.,38.18190629,88.89943212,134.1308594,7.04952099,235.3691406,369.5,142.1142521,121.4884218,18.7437448,20.19826546,165.2737368,0.397428585
88,T3,Control,Compost,0,.,33.66202783,116.7659185,146.8261719,-3.60177443,287.7738281,434.6,61.39778901,65.64699379,4.584140011,2.603523623,89.01282333,1.191407625
89,T3,Control,Compost,0,.,67.30183416,137.855016,220.8496094,15.69275924,354.9003906,575.75,63.51416346,55.98702045,2.6826976,3.422799604,69.63467937,0.469501891
90,T3,Control,Compost,0,.,45.2638455,130.1328447,173.7304688,-1.6662214,298.4695313,472.2,63.54120515,79.95451778,8.758310486,2.769611157,100.1931724,0.961841912
109,Baseline,All,Compost,20.9,0.150401837,23.44887591,84.88209759,144.8411208,36.5101473,184.6088792,329.45,134.6070976,77.04509015,12.29721776,22.89312773,202.8835115,0.387550903
110,Baseline,Faba Oat,Compost,26.41,0.198888889,23.92331724,157.0545121,233.1542969,52.17646756,177.0957031,410.25,124.8936565,71.44054686,4.4843581,13.94128897,132.3379698,0.326186299
111,Baseline,Radish,Compost,34.22,0.15562249,27.65521159,89.41823179,141.1320613,24.05861792,166.7179387,307.85,76.60422698,45.29230798,3.066438552,4.737491155,121.3104454,0.407955828
112,Baseline,Faba,Compost,53.16,0.167042889,32.15393354,91.51168117,168.3161809,44.65056619,208.8338191,377.15,187.1111087,84.5732877,13.58106628,45.6763348,233.1991433,1.04974245
113,Baseline,Oat,Compost,27.46,0.165254237,103.0836868,160.2328477,173.7792969,-89.5372376,207.6207031,381.4,90.45936734,61.63308412,1.428591942,6.768972489,123.9891664,36.63485875
114,Baseline,Control,Compost,0,0.434010152,28.90319374,95.53754821,151.7897386,27.34899665,204.2602614,356.05,54.88451393,40.25373942,1.313401126,2.310056783,71.41014366,0.962609902
19,T1,All,Control,35.45,0.254347826,31.04502238,98.4065179,120.1171875,-9.33435278,209.4328125,329.55,163.3132231,103.9568926,32.72731278,20.27094363,266.5949193,-1.302231619
20,T1,All,Control,35.45,0.248201439,46.59301335,99.60604672,126.2207031,-19.97835697,218.2292969,344.45,226.5225621,84.27552884,21.89978684,29.68962273,223.9270269,-2.304031444
21,T1,All,Control,35.45,0.233201581,33.13847076,96.03429095,144.5007324,15.32797069,210.5492676,355.05,94.69689015,63.97040411,17.54482559,3.97543599,126.6188063,-1.60978484
22,T1,Faba Oat,Control,39.82,0.923076923,23.26291683,91.48979488,127.6855469,12.93283519,228.8144531,356.5,206.9176582,153.9711461,17.50201847,13.91270998,430.222748,-1.274526014
23,T1,Faba Oat,Control,39.82,0.199718706,29.13509725,94.8864392,126.7578125,2.73627605,194.4921875,321.25,105.5455031,70.07170003,20.84574106,3.60457442,177.3783619,-1.626581134
24,T1,Faba Oat,Control,39.82,0.303703704,23.1167282,87.38891434,133.0566406,22.55099806,187.4933594,320.55,120.4488993,74.20901322,9.774868301,7.633394075,196.4121825,-1.457219992
25,T1,Radish,Control,36.31,0.306413302,44.12007219,101.8870155,169.4824219,23.47533421,176.6675781,346.15,298.7632332,181.7546627,49.63506789,46.45682686,681.4164272,0.192947867
26,T1,Radish,Control,36.31,0.57231405,26.3002484,91.28680739,117.8448017,0.25774591,192.3551983,310.2,200.0679776,120.2554295,48.13567244,34.85224736,262.0222581,-0.187757961
27,T1,Radish,Control,36.31,0.12202381,26.09458457,89.81610096,121.8261719,5.91548637,188.8738281,310.7,136.0987637,55.55104105,25.37761545,18.26054396,132.2235539,-1.253976492
28,T1,Faba,Control,57.12,0.354243542,52.95768248,97.55993281,130.6152344,-19.90238089,205.0347656,335.65,153.2693694,116.9028365,30.92967798,28.05236759,202.6526549,-1.921457228
29,T1,Faba,Control,57.12,1.03649635,61.79870888,99.78198538,133.3496094,-28.23108486,231.7003906,365.05,653.7258412,373.4629913,246.0754621,170.4629875,622.0429157,-4.778567012
30,T1,Faba,Control,57.12,0.306122449,40.77124554,99.88499395,142.8222656,2.16602611,168.3777344,311.2,284.1918714,190.6619028,55.22277375,51.04334046,298.8131559,-1.917263317
31,T1,Oat,Control,19.77,0.31261426,24.84075141,81.87818569,122.8515625,16.1326254,198.2484375,321.1,53.95849529,48.65572535,1.904765834,-1.466270102,101.1827315,-0.328837547
32,T1,Oat,Control,19.77,0.334437086,23.4973019,88.03023362,133.5449219,22.01738638,173.6050781,307.15,83.55588467,66.26123831,7.923447417,2.714435348,141.2781846,-0.513747549
33,T1,Oat,Control,19.77,0.257575758,24.8266636,89.13120142,147.6074219,33.64955688,166.3425781,313.95,58.87388867,54.65878758,1.364939554,-1.312595249,87.87185369,-0.828429483
34,T1,Control,Control,0,0.494680851,24.90883272,77.32478241,126.5625,24.32888487,179.5375,306.1,59.45713458,53.72360267,2.034000414,-2.457687081,86.66857511,-4.796848566
35,T1,Control,Control,0,0.39488117,23.91095603,87.11344516,138.8183594,27.79395821,166.2816406,305.1,97.10334241,74.88730225,6.612096532,12.01156524,127.7804427,-1.394847678
36,T1,Control,Control,0,0.434153401,23.70245646,80.79205113,160.4755108,55.98100321,152.9744892,313.45,64.38325719,78.21084264,2.225190031,-0.603928272,122.0175285,-1.651744555
55,T2,All,Control,35.45,0.205970149,34.05981345,90.05373412,123.0957031,-1.01784447,186.1042969,309.2,202.1173939,119.9169164,15.83892586,25.16090082,322.5890985,-1.470601693
56,T2,All,Control,35.45,0.10534846,29.47003692,#VALUE!,119.0185547,#VALUE!,207.0314453,326.05,142.5675526,85.01210313,10.82228508,13.41216882,241.113506,-1.127086066
57,T2,All,Control,35.45,0.222903885,27.82561772,100.123683,123.0957031,-4.85359762,208.5042969,331.6,164.8815794,48.73195288,21.71078176,26.5818916,237.9777207,-5.506215838
58,T2,Faba Oat,Control,39.82,0.200288184,32.88383982,107.4851122,120.5952962,-19.77365582,173.2547038,293.85,92.74015827,62.62095506,7.698123561,3.477193832,169.4194715,-2.781042242
59,T2,Faba Oat,Control,39.82,0.288401254,38.79774349,113.95793,127.0939754,-25.66169809,204.3560246,331.45,164.8198468,149.5546155,15.14527454,16.72251401,232.7126817,-3.866738734
60,T2,Faba Oat,Control,39.82,0.176691729,25.32443587,99.6612386,128.2755534,3.28987893,182.1744466,310.45,94.93799063,74.74703013,9.077148633,15.24752356,170.7493647,-0.574534411
61,T2,Radish,Control,36.31,0.315280464,30.06077819,95.87265231,123.1032151,-2.8302154,226.6967849,349.8,-3.920958185,17.31046768,3.043957346,-0.167161663,78.20685187,-0.969240935
62,T2,Radish,Control,36.31,0.399176955,28.55676998,101.9839892,114.839994,-15.70076518,232.810006,347.65,-5.224188272,37.07396802,4.281829045,3.490526241,76.51403066,-3.375908903
63,T2,Radish,Control,36.31,0.478991597,47.97654167,120.2381304,133.3984375,-34.81623457,205.3515625,338.75,112.3683556,122.6322746,8.396959503,10.35731579,165.3757092,-7.681997793
