ftrt,ctrt,time,PBIC,AMAC,EDTA,PFIX,PTOT,PORG
CNTL ,BO,2,8.387276786,39.57927142,206.8136605,158.8471123,364.425,157.6113395
CNTL ,BO,2,6.283482143,35.87480759,195.347038,153.1887483,343.425,148.077962
IFERT ,BO,1,8.91957955,81.58718841,249.5429616,159.0361937,374.9,125.3570384
IFERT ,BO,1,14.6302135,73.12342029,254.2047532,166.4511194,417.45,163.2452468
IFERT ,BO,1,14.35413988,79.98332367,247.440585,153.1031215,408.15,160.709415
IFERT ,BO,1,13.34186994,72.16689855,185.1005484,99.59177996,298.3,113.1994516
IFERT ,BO,2,10.50817252,37.83474569,147.8448276,99.50190937,333.675,185.8301724
IFERT ,BO,2,12.3828125,37.54746024,166.0587975,116.1285248,357.075,191.0162025
IFERT ,BO,2,11.67556866,37.86027837,169.9712644,120.4354173,346.875,176.9037356
IFERT ,BO,2,11.14964215,40.5478593,194.4145115,142.71701,339.025,144.6104885
CMPT,F,1,25.04432393,63.964,444.9820789,355.9737549,418.65,-26.33207885
CMPT,F,1,18.56170634,64.26351691,470.7885305,387.9633072,405.85,-64.93853047
CMPT,F,1,26.88481472,76.22377502,284.2778793,181.1692896,370.7,86.42212066
CMPT,F,1,28.54636892,76.08958285,279.7074954,175.0715437,436.75,157.0425046
CMPT,F,2,47.36106682,48.44771841,243.0555556,147.2467703,354.525,111.4694444
CMPT,F,2,22.22098214,43.61210877,245.4022989,179.5692079,393.325,147.9227011
CMPT,F,2,27.0049426,41.504801,234.1954023,165.6856587,357.375,123.1795977
CMPT,F,2,34.73329436,46.17752694,186.9312739,106.0204527,379.825,192.8937261
CNTL ,F,1,5.003424131,82.74168009,161.1517367,73.40663253,415.3,254.1482633
CNTL ,F,1,9.988086708,71.65482126,100,18.35709204,379.4,279.4
CNTL ,F,1,22.86129734,71.90087033,159.5063985,64.74423086,410.4,250.8936015
CNTL ,F,1,10.38685971,72.24593589,209.3235832,126.6907876,387.1,177.7764168
CNTL ,F,2,11.46448373,41.60528973,160.5327144,107.462941,358.625,198.0922856
CNTL ,F,2,51.38578869,46.39131178,207.2856801,109.5085796,391.525,184.2393199
CNTL ,F,2,16.91268955,41.06705107,207.9022989,149.9225582,332.875,124.9727011
CNTL ,F,2,9.034328197,30.90915109,187.4723696,147.5288903,331.575,144.1026304
IFERT ,F,1,12.51364908,96.07994203,152.1023766,43.50878549,413.5,261.3976234
IFERT ,F,1,15.56579632,78.53379725,221.2065814,127.1069878,407.7,186.4934186
IFERT ,F,1,16.02591902,81.87901618,126.8738574,28.96892221,452.1,325.2261426
IFERT ,F,1,13.82755501,75.974561,76.41681901,-13.385297,414,337.583181
IFERT ,F,2,25.98214286,38.26577732,165.5172414,101.2693212,333.525,168.0077586
IFERT ,F,2,17.22824546,37.96208068,174.6242263,119.4339002,354.425,179.8007737
IFERT ,F,2,60.53137401,55.85892643,160.1412835,43.75098308,378.025,217.8837165
IFERT ,F,2,35.91792375,45.02929542,183.4659593,102.5187402,386.575,203.1090407
CMPT,FLW,1,18.11180859,67.57796565,473.4003656,387.7105914,263.25,-210.1503656
CMPT,FLW,1,17.92264703,73.65482126,71.57221207,-20.00525622,335.9,264.3277879
CMPT,FLW,1,16.58317873,78.64999034,97.71480804,2.481638974,253.8,156.085192
CMPT,FLW,1,20.31528507,98.84322705,431.7184644,312.5599522,411.15,-20.56846435
CMPT,FLW,2,26.82778841,36.70991229,265.6609195,202.1232188,380.475,114.8140805
CMPT,FLW,2,22.17749079,36.23144144,281.9683908,223.5594586,359.775,77.8066092
CMPT,FLW,2,21.99515769,42.56732154,265.9427498,201.3802706,373.925,107.9822502
CMPT,FLW,2,29.3359375,43.70446383,383.5907567,310.5503554,365.625,-17.9657567
CNTL ,FLW,1,1.317330061,4.469308335,188.8482633,183.0616249,392.7,203.8517367
CNTL ,FLW,1,-3.329909202,8.108927536,212.797075,208.0180566,377.1,164.302925
CNTL ,FLW,1,18.98604172,100.3400238,321.4808044,202.1547389,415.2,93.71919561
CNTL ,FLW,1,14.43082699,23.25868599,99.36014625,61.67063327,342.25,242.8898537
CNTL ,FLW,2,14.86049107,35.16675218,221.8031609,171.7759177,322.525,100.7218391
CNTL ,FLW,2,16.81361607,36.11082606,109.5545977,56.63015557,377.425,267.8704023
CNTL ,FLW,2,16.57924107,36.87018984,128.5620211,75.11259016,349.775,221.2129789
CNTL ,FLW,2,12.41629464,36.00820934,126.8678161,78.44331211,304.075,177.2071839
IFERT ,FLW,1,-6.254244581,105.0557874,394.6983547,295.8968118,320.6,-74.09835466
IFERT ,FLW,1,18.87356728,92.5050628,164.9908592,53.61222915,401,236.0091408
IFERT ,FLW,1,30.91855706,5.355304348,124.0402194,87.76635798,312.8,188.7597806
IFERT ,FLW,1,-1.26446953,67.59713596,272.9433272,206.6106608,400.05,127.1066728
IFERT ,FLW,2,21.81919643,38.21446896,174.071618,114.0379527,371.375,197.303382
IFERT ,FLW,2,22.44419643,44.33042586,100.7128647,33.93824243,381.475,280.7621353
IFERT ,FLW,2,18.73883929,39.26629041,128.2051282,70.19999851,360.225,232.0198718
IFERT ,FLW,2,20.78683036,34.26372499,323.4255268,268.3749715,352.525,29.09947318
CMPT,FO,1,43.46456933,102.2345314,232.9067642,87.20766344,416,183.0932358
CMPT,FO,1,42.93798446,104.384959,342.321755,194.9988116,438.05,95.72824497
CMPT,FO,1,37.5289865,101.1910531,303.7477148,165.0276752,374.35,70.60228519
CMPT,FO,1,31.96150184,93.1524058,364.5338208,239.4199132,448.35,83.81617916
CMPT,FO,2,23.37881767,38.95465318,244.683908,182.3504372,364.475,119.791092
CMPT,FO,2,33.97717454,48.64984525,236.637931,154.0109112,383.875,147.237069
CMPT,FO,2,25.14508929,38.56336583,188.5057471,124.797292,342.375,153.8692529
CMPT,FO,2,23.59472435,37.72793537,257.9022989,196.5796391,344.325,86.42270115
CNTL ,FO,1,11.48092924,41.76110145,364.3510055,311.1089748,397.95,33.59899452
CNTL ,FO,1,15.0494364,32.72728502,359.1407678,311.3640464,417,57.85923218
CNTL ,FO,1,9.456389366,32.88929147,339.6709324,297.3252515,436.55,96.87906764
CNTL ,FO,1,5.668045808,42.32189886,328.1535649,280.1636202,401.05,72.8964351
CNTL ,FO,2,12.30114442,40.18137099,274.7844828,222.3019674,356.475,81.69051724
CNTL ,FO,2,20.62739158,42.298859,277.029454,214.1032034,327.125,50.09554598
CNTL ,FO,2,9.870810303,35.11161605,288.4615385,243.4791121,343.325,54.86346154
CNTL ,FO,2,10.85069444,36.21108098,204.7413793,157.6796039,332.125,127.3836207
IFERT ,FO,1,15.10567362,57.02680193,293.9670932,221.8346177,401.75,107.7829068
IFERT ,FO,1,14.7887002,11.40361353,317.0018282,290.8095144,418.45,101.4481718
IFERT ,FO,1,11.70587812,10.97849275,284.2778793,261.5935085,328.7,44.42212066
IFERT ,FO,1,13.21405808,16.41415381,343.6928702,314.0646583,383.3,39.6071298
IFERT ,FO,2,12.31584821,34.21241662,221.3541667,174.8259018,330.475,109.1208333
IFERT ,FO,2,15.53724438,39.59847068,205.9386973,150.8029823,324.975,119.0363027
IFERT ,FO,2,28.01991827,44.74999586,191.2024757,118.4325615,337.575,146.3725243
IFERT ,FO,2,12.08705357,35.20779887,203.4482759,156.1534234,339.325,135.8767241
CMPT,O,1,16.70076564,#VALUE!,189.9451554,#VALUE!,377.6,187.6548446
CMPT,O,1,22.17111329,83.72567472,675.3199269,569.4231389,717.4,42.08007313
CMPT,O,1,29.56375133,63.78042512,93.96709324,0.622916786,294.95,200.9829068
CMPT,O,1,16.28154274,92.30216425,190.7678245,82.18411751,284.75,93.9821755
CMPT,O,2,21.96158411,35.42720321,222.2866932,164.8979059,382.475,160.1883068
CMPT,O,2,18.7890625,43.99179066,207.5044209,144.7235677,378.275,170.7705791
CMPT,O,2,32.7513818,44.88463762,242.6724138,165.0363944,369.425,126.7525862
CMPT,O,2,35.9375,45.23345305,504.3932361,423.222283,556.825,52.43176393
CNTL ,O,1,11.01569407,73.16611073,89.67093236,5.489127561,335.85,246.1790676
CNTL ,O,1,10.05966135,77.68380676,329.4332724,241.6898043,376.95,47.51672761
CNTL ,O,1,11.4298045,81.64515942,393.4186472,300.3436832,371.85,-21.56864717
CNTL ,O,1,8.91957955,77.28761493,360.8775137,274.6703192,495.65,134.7724863
CNTL ,O,2,9.732408588,32.90250597,187.9310345,145.2961199,299.975,112.0439655
CNTL ,O,2,13.45818275,40.99578946,208.3333333,153.8793611,366.525,158.1916667
CNTL ,O,2,12.27453557,40.75704662,275.6824713,222.6508891,393.675,117.9925287
CNTL ,O,2,15.35723286,37.15718565,159.7701149,107.2556964,370.925,211.1548851
IFERT ,O,1,13.76109284,87.02680193,171.023766,70.23587122,304.75,133.726234
IFERT ,O,1,8.065796319,64.6161529,190.0365631,117.3546138,328.85,138.8134369
IFERT ,O,1,10.64759591,79.22970048,252.285192,162.4078956,409.75,157.464808
IFERT ,O,1,11.54227894,87.20071498,213.8025594,115.0595655,362.75,148.9474406
IFERT ,O,2,12.32142857,31.69830682,211.9252874,167.905552,313.175,101.2497126
IFERT ,O,2,10.71428571,33.08363263,287.6436782,243.8457598,321.925,34.28132184
IFERT ,O,2,11.71875,31.10312981,252.0114943,209.1896144,312.325,60.31350575
IFERT ,O,2,14.97506555,39.41785368,194.9325818,140.5396626,340.275,145.3424182
CMPT,R,1,27.57499877,77.18047764,149.5429616,44.7874852,386.4,236.8570384
